"Under 10,000",426578
"10,000 to 12,000",83338
"12,000 to 15,000",127607
"15,000 to 17,000",85967
"17,000 to 20,000",132928
"20,000 to 25,000",212267
"25,000 to 27,000",83583
"27,000 to 30,000",117771
"30,000 to 35,000",184245
"35,000 to 40,000",149135
"40,000 to 50,000",222388
"50,000 to 60,000",156991
"60,000 to 70,000",110068
"70,000 to 75,000",43126
"75,000 to 80,000",35509
"80,000 to 90,000",56526
"90,000 to 100,000",39944
"100,000 to 150,000",87488
"150,000 to 200,000",23539
"200,000 to 275,000",12847
"275,000 and over",12928
