"Population by County, Social Class, statistical indicator and Year",,,
,,,
 , , ,2016
State,,,
 ,1 Professional Workers,,
 , ,Population (Number),386648
 ,2 Managerial and Technical,,
 , ,Population (Number),1336896
 ,3 Non-Manual,,
 , ,Population (Number),837145
 ,4 Skilled Manual,,
 , ,Population (Number),671890
 , ,Population aged 15 years and under (Number),121080
 ,5 Semi-Skilled,,
 , ,Population (Number),501103
 ,6 Unskilled,,
 , ,Population (Number),170391
 ,7 All Others Gainfully Occupied and Unknown,,
 , ,Population (Number),857792
